개방자치단체코드,관리번호,인허가일자,소재지전화,도로명전체주소,도로명우편번호,좌표정보(x),좌표정보(y),영업상태명,상세영업상태명,소재지전체주소,병원번호,사업장명,공지,웹사이트 링크,"제로페이, 주차",병원 소개
3210000,321000001020050004,2005.12.30,02-585-0087,"서울특별시 서초구 효령로 214, 삼양빌딩 2층 (서초동)",6709,200612.4018,442325.9223,영업/정상,정상,서울특별시 서초구 서초동 1486-2 삼양빌딩,17,다니엘동물병원,"(주차는 1층 중국집 옆 주차 통로 및 통로 뒷편 주차장에 주차해주시면 됩니다. 통로 주차하시는 경우, 외측 벽에 붙여서 주차해주시기 바랍니다)",https://danielah.modoo.at/,"제로페이, 주차","안녕하세요. 서초동에 위치한 다니엘동물병원입니다. 저희 병원은 2006년 부터 지역 반려동물들의 건강과 가족들의 행복한 동행을 위하여 최선의 노력을 기울이고 있습니다. 특히, 영상 진단(심장 초음파검사, 복부 초음파검사, x-선 검사 등) 파트에 대한 전문화 진료를 통해서,지역 반려동물 진단 뿐만 아니라, 서울/경기 지역 원장님들이 의뢰해주시는 다양한 케이스의 전문적인 영상 진단에 도움을 드리고 있습니다. 또한, 이를 바탕으로 노령견 건강검진과 관리를 통해서 삶의 질 개선과 수명 연장을 최우선적인 방향으로 삼고 있습니다. 그 밖에 침치료, 내/외과 질환, 수술 등의 일반 진료 서비스도 제공해드리고 있습니다. 최근 노령견들의 다양한 증상들(식욕 부진, 만성 구토, 체중 감소, 만성 기침)과 어린 강아지들의 선천적 문제점들의 근본적인 원인 파악에 있어서, 영상 진단의 비중이 상당히 높아지면서 검사 수요가 나날이 증가하고 있는 추세입니다. 저희 병원은 영상진단 전공 수의사(서울대학교 수의영상진단학 박사 수료)의 다양한 진료 경험과 전문적인 진단 과정을 통해 반려동물의 건강에 도움이 될 수 있도록 최선의 노력을 기울이고 있습니다. 감사합니다."
3140000,314000001019900001,1990.1.30,2693-8883,서울특별시 양천구 중앙로 295 (신월동),8028,186794.8421,446714.2758,영업/정상,정상,서울특별시 양천구 신월동 501-12,18,우신동물병원,마감 1시간 전에 오셔야 진료 가능합니다. ,http://pethospital.modoo.at/,"제로페이, 주차",언제나 최선을 다하며 최고를 지향하는 우신동물병원. 항상 가족처럼 대하겠습니다. 진료 이외의 미용 문의 및 예약은 우신펫샵(02-2693-9295)으로 연락해주시길 바랍니다.
3140000,314000001019900002,1990.2.23,2642-9159,서울특별시 양천구 등촌로 160 (목동),7951,187774.0762,449099.4068,영업/정상,정상,서울특별시 양천구 목동 657-16,19,현림종합동물병원,,,제로페이,
3140000,314000001019940001,1994.3.18,02-2651-9953,서울특별시 양천구 은행정로 10 (신정동),8087,187566.1085,446497.5845,영업/정상,정상,서울특별시 양천구 신정동 1020-17,20,해성동물병원,"목동9,10단지 사이 홈마트 건너편입니다.",,제로페이,감사합니다.
3210000,321000001020090004,2009.10.23,02-3476-7522,"서울특별시 서초구 반포대로 287, 래미안퍼스티지 중심상가 1층 147,148호 (반포동)",6547,200005.6264,444680.5217,영업/정상,정상,서울특별시 서초구 반포동 18-3 래미안퍼스티지 중심상가 147-8호,21,두리종합동물병원,"ㅡ 네비: 반포대로 287 래미안퍼스티지 중심상가
ㅡ 1층 중앙현관에서 남자화장실쪽 라인 맨끝에 위치해 있습니다
ㅡ 상가 지하주차장에 주차하시면 무료주차 가능합니다",,주차,"※ English available ※ 진료 접수 마감은 평일 7시, 토요일 5시입니다 ※ 일반 진료는 예약없이 내원해주시면 됩니다 ※ 평일 12시부터 2시까지는 보통 수술이 진행되기 때문에 바로 진료 가능한지는 전화 확인 후 내원해주시면 더욱 편하게 이용하실 수 있습니다 ※ 반려동물 동반 해외 출국 준비를 도와드립니다 ※ 미용은 전화로 예약 부탁드립니다 ※ 무료주차 가능합니다 ※ 대형 지하주차장부터 병원까지 실내 연결되어 우천시에도 편하게 내원하실 수 있습니다 ※ 기타 궁금하신 사항은 전화 주시면 친절히 상담해드리겠습니다 :)"
3210000,321000001020100001,2010.4.2,25219010,"서울특별시 서초구 방배로 119, 1층 (방배동)",6682,199509.9016,442495.9495,영업/정상,정상,서울특별시 서초구 방배동 925-8번지,22,디아나동물병원,"7호선 이용 : 내방역 3번출구에서 직진 300m (카페베네 옆건물 1층)
2호선 이용 : 방배역 3번출구에서 직진 300m (기아모터스 옆건물 1층)",https://blog.naver.com/mokujin621,"제로페이, 주차","소중한 반려동물과 함께하는 디아나동물병원입니다. 디아나란 고대 로마신화에 나오는 동물과 자연의 신으로 여러분의 소중한 반려동물을 지키고 함께 하고자 하는 저희의 마음입니다. 저희 디아나 동물병원은 최신 장비와 시설을 갖추어 전문진료 및 수술이 가능한 병원입니다. (전문과목:내과, 심장, 외과, 치과 등)"
3210000,321000001020040009,2004.4.14,02-533-5505,"서울특별시 서초구 나루터로 37, 신사쇼핑센터 1층 102-2호 (잠원동)",6515,201230.6934,445992.4593,영업/정상,정상,서울특별시 서초구 잠원동 50-5 신사쇼핑센터 102-2호,23,이상록동물병원,,,"제로페이, 주차","이상록원장의 자신있는 분야 외과수술분야 슬개골탈구교정술 - 2020년 현재 500 case이상 시술 내안각성형술(과도한 눈물, 유루증치료) 외이도벽 개방술(만성외이도염처치) 암컷 중성화수술(최소절개 1.5~2cm이내) 만성 귀질환 (수면치료로 난치성원인확인 치료관리) 치과치료 (발치플랩, 잇몸염증치료) 만성 피부질환 (아토피,음식알러지관리) 한방치료 (침, 뜸, 한방방제 처치로 양방치료를 효과적으로 보조) 산과 (임신에서 분만까지 높은 수태율과 안전한 산모관리, 불임진료)"
3140000,314000001020080002,2008.7.23,2690-5673,서울특별시 양천구 월정로 46 (신월동),7936,185992.295,446855.11,영업/정상,정상,서울특별시 양천구 신월동 446-4번지,24,햇살동물병원,,,제로페이,
3030000,303000001020160002,2016.3.24,02-468-7582,서울특별시 성동구 뚝섬로 395 (성수동2가),4781,204763.8077,448534.1138,영업/정상,정상,서울특별시 성동구 성수동2가 339-23번지,25,제인동물병원,성수역 3번출구에서 한강방향으로 600m,http://www.janepet.com/,"제로페이, 주차",성수동 카페거리 끝자락에 위치한 동물병원입니다^^
3110000,311000001020120001,2012.2.13,02-359-2020,서울특별시 은평구 통일로 817 (대조동),3385,193147.6394,457137.1552,영업/정상,정상,서울특별시 은평구 대조동 187-24,26,Dr.윤24시동물병원,연신내역 4번출구 도보 2분거리에 위치하고 있습니다.,https://www.instagram.com/petstylist_sena,"제로페이, 주차",연중무휴 동물병원이구요. 외과수술등 다양한 진료 경험. 최신시설 및 장비를 갖춘 병원입니다.
3030000,303000001020040004,2004.8.19,02-2233-1848,서울특별시 성동구 금호산길 58(금호동2가),4726,201657.9263,450119.5081,영업/정상,정상,서울특별시 성동구 금호동2가 485-1,27,한빛동물병원,"신금호역 3번 출구에서 열린금호체육문화센터 방향으로 110m 위치합니다
주차는 금호초등학교 공영주차장이 가까운
거리에 있습니다(약30m)",,,<진료시간> 월~금 : 오전 10시 ~ 오후 7시 토요일 : 오전 10시 ~ 오후 5시 점심시간 : 오후1시 ~ 2시 일요일 공휴일 휴진
3030000,303000001020060001,2006.10.23,02-6085-7750,"서울특별시 성동구 독서당로 289 (금호동4가,지상1층)",,201790.1175,449530.7077,영업/정상,정상,서울특별시 성동구 금호동4가 1108번지 지상1층,28,아지동물병원,,,제로페이,
3030000,303000001020070002,2007.7.25,02-3395-7975,서울특별시 성동구 고산자로 207 (행당동),4714,202907.2189,450712.0867,영업/정상,정상,서울특별시 성동구 행당동 318-36,29,24시센트럴동물메디컬센터,"왕십리역에서 성수대교 방면으로 100m 정도에 위치, kt 맞은편, 옆.
1. 왕십리역 10번 출구에서 성수대교 방면으로 도보로 34분 거리에 위치.
2. 행당역 2번 출구에서 무학여고 사거리 방면으로 도보로 7분 정도 거리에 위치.",http://www.xn--24-qp6i57v43be1or8g.com/,"제로페이, 주차","24시 센트럴 동물 메디컬센터는 개, 고양이 전문 병원으로 365일 24시간 항상 열려 있으며, 항상 가족과 같은 따뜻한 마음으로 최선을 다하는 진료를 하고자 노력하고 있습니다. 재활운동센터 운영으로 수술 전, 후 관절질환 예방과 수술 후 재발 방지를 위한 재활치료 및 재활운동과 집에서 보호자와 함께 할 수 있는 홈트레이닝 운동 방법도 교육하고 있습니다. 재활한방센터에는 전침치료기, 레이저치료기, 극저온치료기, 수중런닝머신, 튼튼짐볼, 밸런스볼, 피넛볼, 카발레티을 통해 미국동물재활학회의 동물재활치료전문자격 및 동물침술사 자격을 보유한 전문의료진의 재활치료를 받아보실 수 있습니다. 밤 12시 이후에는 응급벨을 누르고 5분 정도 기다리시면 당직선생님의 진료를 받으실 수 있습니다."
3140000,314000001020070002,2007.3.27,02-2652-5475,"서울특별시 양천구 신목로 80, 신정동빌딩 (신정동)",8009,188828.5448,446633.6155,영업/정상,정상,서울특별시 양천구 신정동 117-35 신정동빌딩,30,리더스 동물병원,"오목교역 6번출구에서 양천구청 방면으로 250m 도로변에 위치 ( 맞으편 유원아파트, 아이파크)
목동역 방면에서 오시는 분은 오목교역(청약스포츠센터) 우회전하셔서 내려오시면 됩니다.
영등포방면에서 오시는 분은 오목교 다리 지나서 처음 나오는 사거리(오목교역)에서 좌회전신호 받고 내려오시면 됩니다.
오목교역에서 두번째 신호등에서 유턴하시면 바로 병원이 있습니다.
 설날, 추석 당일과 그 다음날은 휴무입니다.
",http://blog.naver.com/hopark96,"제로페이, 주차","안녕하세요! 리더스 동물병원입니다 . 저희 동물병원은 2007년에 개원하여 현재까지 반려동물의 아픔을 돌보고 있습니다. 2명의 원장님을 포함한 여러 스텝이 내과, 외과, 고양이의학, 치과, 심혈관계, 내분비 등의 진료를 분과하여 좀더 전문적이고 체계적인 진료하고 있습니다. 각 원장님들은 오랜 노하우와 숙련된 기술로 환자의 치료에 정성을 다하고 있으며, 각 과마다 원할한 협진을 통해 반려동물의 치료에 매진하고 있습니다. 여러분의 소중한 반려동물이 건강할 수 있도록 저희 리더스 동물병원은 오늘도 최선을 다하겠습니다."
3030000,303000001020160001,2016.2.25,02-6402-0301,"서울특별시 성동구 매봉길 13, 1층 420호 (옥수동, 래미안옥수리버젠상가)",4733,201153.9816,449188.9705,영업/정상,정상,서울특별시 성동구 옥수동 561번지 래미안옥수리버젠 상가동 420호,31,오석헌동물병원,옥수역 4번 출구 도보 5분 거리,https://www.instagram.com/oshvetclinic,"제로페이, 주차","원장 오석헌, DVM, MVSc
2016~현재 : 오석헌동물병원 원장
2017~현재 : 코엑스아쿠아리움 선임수의사
2017~현재 : 서울숲공원 자문수의사
2017~현재 : 주렁주렁동물원(영등포/하남/동탄) 선임수의사
2014~2016 : 동물치과병원 메이 부원장
2006~2014 : 삼성에버랜드 동물원 진료팀장

- 진료과목
. 건강검진, 피부과, 내/외과, 행동의학

- 특화진료과목
. 특수동물(페럿/앵무새/소형동물) 진료
. 동물치과진료/수술
. 심장내과(심장초음파)

- 진료예약제 : 여유로운 상담/진료를 위해 예약제로 운영합니다.
- 미용실/호텔은 운영되지 않습니다."
3110000,311000001020120002,2012.6.21,385-8275,"서울특별시 은평구 진관3로 70 (진관동, 상림마을 821동 101호)",3302,193103.4271,459986.856,영업/정상,정상,서울특별시 은평구 진관동 20번지 상림마을 821동 101호,32,뉴타운동물병원,,,제로페이,x
3110000,311000001020130001,2013.2.25,02-387-7582,서울특별시 은평구 은평로 93 (응암동),3461,192700.3776,455276.7291,영업/정상,정상,서울특별시 은평구 응암동 91-5,33,24시스마트동물메디컬센터,"지하철 이용 : 응암역 4번 출구로 나와 3번출구와 4번 출구 사이 도로 를 따라 걸어서 2분 거리
자가용 : 신사오거리(응암역)에서 은평구 이마트 방향으로 100 M
은평구청에서 은평구 이마트 지나 응암역 가지 전에 위치
전면, 후면 주차 10대 가능내용 더보기",https://blog.naver.com/eosksh,"제로페이, 주차","1. 은평구 최초 동물메디컬센터 개원
: 다년간의 경력 의료진으로 구성되어 정확한 진단과 그에 따른 치료를 받으실 수 있습니다

2. 24시간 진료 가능
: 24시간 의료진 대기하여 위급한 상황시 신속한 진료을 받으실 수 있으며 입원하는 동안 24시간 의료진이 케어를 담당해 드립니다.

3. 전문적인 진료
1) 수술 전문
: 다년간의 풍부한 수술 경험으로 슬개골수술, 자궁축농증, 방광결석 등등 다양한 수술 가능하며 실력있는 내과 의료진 서포트로 완벽한 회복까지 제공합니다.

2) 치과 전문
: 타 동물병원과 차별적인 독립된 치과실, 치과 디지털 엑스레이, 덴탈 유닛 구비으로 신경치료, 레진치료까지 가능합니다

3) 고양이 전문
: 강아지와 다른 진료공간을 배치 함으로서 내원하는 냥이들이 스트레스 받지 않고 오랜시간 진료 받으실 수 있습니다.

4) 노령견 전문
: 실력 있는 내과 의료진을 바탕으로 노령견 관리 및 호르몬 질환, 신장질환, 심장질환, 아토피와 같은 만성 질환에 체계적인 진료를 제공합니다.

4. 고양이 무마취 미용
: 고양이는 미용시 무조건 마취하는 기존 관점을 탈피하여 무마취 미용 가능합니다. 마취에 대한 부담없이 미용 가능합니다.

5. 입원관리
: 위생적 편안한 시설에서 24시간 수의사의 관찰하에 입원하여 지속적이며 상황별 즉각적인 처치를 받으실 수 있습니다.

저희 24시 스마트동물메디컬센터는 2013년 개원 하였으나 다년간의 경력의 의료진 구성으로 최신 시설에서 최고의 진료를 받으실 수 있습니다."
3210000,321000001019950001,1995.7.1,593-1045,"서울특별시 서초구 강남대로 631, 1층 (잠원동, 크레신타워)",6524,201565.9572,446206.3549,영업/정상,정상,서울특별시 서초구 잠원동 8-24 크레신타워 1층,34,유림동물안과병원,"대중교통 이용 시 신사역 5번 출구 전방 200m 크레신타워 1층
자가용 이용시 서울특별시 서초구 잠원동 824 건물 뒷편 기계식 주차 가능내용 더보기",http://ylaec.com/,주차,"유림종합동물병원은 1992년 5월 개원하여 수준 높은 동물의료서비스의 제공을 목표로 지역사회에 공헌할 수 있도록 노력해왔습니다. 24년이라는 시간동안 사람과 동물의 유대관계가 깊어지고 나아가 반려동물에 대한 전문적인 의료체제의 필요성이 대두되어, 2016년 8월 유림동물안과병원으로서 반려동물의 안과건강을 체계적으로 살필 수 있는 시설을 갖추게 되었습니다. 더불어 동물 안과 분야에 있어서 임상, 연구의 리더로서 앞장서고자 노력하고 있습니다. 유림동물안과병원은 지역동물병원으로부터의 소개로 내원하시는 환자들을 전화로 예약 받습니다. 소개 없이 내원하시는 경우, 다른 병원에서 안과 진료를 받은 경험이 있으시면 간단한 진료 경과, 치료 또는 처치 내용, 내복약 및 점안제를 지참해주시는 것을 권장합니다."
3030000,303000001020150002,2015.10.1,2282-3653,서울특별시 성동구 독서당로 328 (금호동4가),4737,202164.8202,449516.5209,영업/정상,정상,서울특별시 성동구 금호동4가 131,36,펫365동물병원,,,주차,반려동물을 가족처럼 생각하고 성실히 진료하는 동물병원입니다. 2024년 6월부터 새로운 의료진이 진료를 시작하게 되었습니다. 친절하게 다가가겠습니다. 감사합니다.
3140000,314000001019990002,1999.6.25,2695-1231,서울특별시 양천구 남부순환로 347 (신월동),7905,184767.7296,448229.827,영업/정상,정상,서울특별시 양천구 신월동 50-5번지,37,민병철동물병원,,,제로페이,
3030000,303000001020120002,2012.10.31,02-2291-7582,"서울특별시 성동구 독서당로40길 39, 어울림상가 301~304호 (옥수동)",4739,201538.0561,448894.7552,영업/정상,정상,서울특별시 성동구 옥수동 560 어울림상가 301~4호,38,옥수수 동물병원,,,"제로페이, 주차","옥수수동물병원은 아이에 대한 당신의 걱정까지 함께하는 가족이 되겠습니다. 사람의 일생에서 동물은 일부지만, 동물의 일생에서 당신은 전부이듯이, 반려동물의 건강을 위해 최선을 다하는 동물병원이 되겠습니다. 또 내원하는 모든 아이들에게 최선을 다하는 진료와 최상의 서비스를 위해 항상 노력하겠습니다."
3140000,314000001020090003,2009.7.3,2645-2727,서울 양천구 오목로 299 이마트목동점 지하1층,8001,188472.7592,447091.856,영업/정상,정상,서울특별시 양천구 목동 962-1,39,쿨펫동물병원,,,,
3110000,311000001020160002,2016.3.18,02-354-7544,"서울특별시 은평구 연서로 317 (불광동, 동윤빌딩)",3343,193547.6806,457936.9948,영업/정상,정상,서울특별시 은평구 불광동 104-94번지,40,둘레길동물병원,"연신내역 2,3번 출구로 나와 연서시장 방면으로 도보로 10분 거리에 있습니다. 대중교통 이용시 571,701,720,7211이용가능합니다.",https://blog.naver.com/norpia,"제로페이, 주차","은평구 불광동에 위치한 노령견, 고양이 전문 동물병원입니다. 최신의 영상진단장비를 보유하여 진단의 정확성을 높였습니다. 지상과 지하에 넉넉한 주차시설이 있어서 보호자분께서 편하게 내원하실 수 있습니다. 진료 외 시간에 내원을 원하실 경우 미리 예약 전화주세요. http://blog.naver.com/norpia"
3110000,311000001020160004,2016.10.25,02-352-7275,"서울특별시 은평구 통일로 727-5, 2층 (대조동)",3397,193680.5647,456432.9936,영업/정상,정상,서울특별시 은평구 대조동 14-27 2층,41,개와냥이동물병원,"NC백화점 옆 오가네손칼국수 2층입니다.
백화점 주차장 들어가는 길쪽으로 맞은편 건물입니다.
우측부터 청년다방, 스포애니, 오가네손칼국수 순으로 되어 있습니다.",https://blog.naver.com/kwangnyeon99,"제로페이, 주차","안녕하세요! 개와냥이 동물병원 입니다. 사랑스러운 반려동물이 아픈 후에 치료 받는 것 보다는 철저한 질병예방이 더 중요하다는 생각으로 내 자식처럼 정성껏 진료하고 있습니다. 반려동물이 어렸을 때부터 예방관리, 사료선택, 체중관리, 생활 습관 등 모든 방면에서 면밀히 상담하여드리고 있습니다. 강아지&고양이 피부과, 영양학, 소아과, 노령질환 내과진료 합니다. 수의사 1인 병원이라 예약진료만 가능합니다. 미용과 호텔은 불가능합니다. 양해 부탁드립니다."
3110000,311000001020160005,2016.12.27,02-3152-0075,서울특별시 은평구 백련산로 29 (응암동),3470,193081.8522,453992.5637,영업/정상,정상,서울특별시 은평구 응암동 244-212번지,42,참좋은동물병원,,https://blog.naver.com/naraevc,제로페이,
3110000,311000001020040004,2004.6.8,02-384-0075,서울특별시 은평구 통일로 885 (갈현동),3329,192825.7957,457740.6732,영업/정상,정상,서울특별시 은평구 갈현동 394-27,43,메디펫동물병원,연신내역에서 구파발방향 300미터 직진하시면 왼쪽에 있습니다. 주차공간이 없어서 근처 유료주차장을 이용하셔야 합니다.  법정공휴일은 휴진입니다.,https://blog.naver.com/medipetclinic,,Since 2004
3010000,301000001019900001,1990.9.25,2274-8558,서울특별시 중구 퇴계로 226 (필동2가),4624,199652.5966,451038.8914,영업/정상,정상,서울특별시 중구 필동2가 53,44,윤신근박사동물병원,매일 박사님 진료 12:00~18:00,http://윤신근박사동물병원.kr,제로페이,
